yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
1889,Penn State,Ind,2,2,0,0.5,0,0,0,0,8,34.5,Ind
1889,Pennsylvania,Ind,7,6,0,0.538,0,0,0,0,15.2,12.7,Ind
1889,Amherst,Ind,3,5,2,0.4,0,0,0,0,17.3,19.8,Ind
1889,Lafayette,Ind,3,4,2,0.444,0,0,0,0,8.7,9.8,Ind
1889,Wesleyan (CT),Ind,5,7,1,0.423,0,0,0,0,11.8,32.3,Ind
1889,Williams,Ind,4,5,1,0.45,0,0,0,0,25.8,20.3,Ind
1889,Bucknell,Ind,1,4,1,0.25,0,0,0,0,4,21,Ind
1889,Columbia,Ind,2,7,2,0.273,0,0,0,0,4.9,27.1,Ind
1889,Rutgers,Ind,1,4,0,0.2,0,0,0,0,4.4,18.4,Ind
1889,Swarthmore,Ind,1,6,0,0.143,0,0,0,0,6.6,22.7,Ind
1889,Stevens,Ind,1,10,0,0.091,0,0,0,0,3.5,20.2,Ind
1890,Harvard,Ind,11,0,0,1,0,0,0,0,50.5,1.1,Ind
1890,Yale,Ind,13,1,0,0.929,0,0,0,0,34.7,1.3,Ind
1890,Franklin & Marshall,Ind,8,2,0,0.8,0,0,0,0,21.2,9.6,Ind
1890,Princeton,Ind,11,1,1,0.885,0,0,0,0,36.8,4.5,Ind
1890,Williams,Ind,8,2,0,0.8,0,0,0,0,22.6,8.2,Ind
1890,Pennsylvania,Ind,11,3,0,0.786,0,0,0,0,18.5,9.6,Ind
1890,Virginia,Ind,5,2,0,0.714,0,0,0,0,32.3,29.6,Ind
1890,Cornell,Ind,8,4,0,0.667,0,0,0,0,28.5,11.2,Ind
1890,Lehigh,Ind,6,4,0,0.6,0,0,0,0,24.8,11.9,Ind
1890,Amherst,Ind,6,5,1,0.542,0,0,0,0,15.3,15.4,Ind
1890,Dartmouth,Ind,4,4,0,0.5,0,0,0,0,16.6,15.3,Ind
1890,Rutgers,Ind,5,5,1,0.5,0,0,0,0,20.2,13.4,Ind
1890,Wesleyan (CT),Ind,5,6,0,0.455,0,0,0,0,6.9,23.1,Ind
1890,Bucknell,Ind,1,3,1,0.3,0,0,0,0,5.6,12,Ind
1890,Dickinson,Ind,3,6,0,0.333,0,0,0,0,5.7,14,Ind
1890,Lafayette,Ind,2,5,1,0.313,0,0,0,0,12.5,20.8,Ind
1890,Trinity (CT),Ind,2,5,1,0.313,0,0,0,0,8.3,16.8,Ind
1890,Columbia,Ind,1,6,1,0.188,0,0,0,0,5.8,24.9,Ind
1891,Yale,Ind,13,0,0,1,0,0,0,0,37.5,0,Ind
1891,Harvard,Ind,13,1,0,0.929,0,0,0,0,42,1.9,Ind
1891,Princeton,Ind,12,1,0,0.923,0,0,0,0,30.1,1.5,Ind
1891,Pennsylvania,Ind,11,2,0,0.846,0,0,0,0,20.5,8.4,Ind
1891,Army,Ind,4,1,1,0.75,0,0,0,0,13.3,12.2,Ind
1891,Bucknell,Ind,6,2,1,0.722,0,0,0,0,19.6,11.8,Ind
1891,Cornell,Ind,7,3,0,0.7,0,0,0,0,29.8,3.4,Ind
1891,Navy,Ind,5,2,0,0.714,0,0,0,0,17.3,8.9,Ind
1891,Penn State,Ind,5,2,0,0.714,0,0,0,0,24.6,6.6,Ind
1891,Williams,Ind,8,2,1,0.773,0,0,0,0,27.8,7.6,Ind
1891,Amherst,Ind,8,4,3,0.633,0,0,0,0,21.2,10.3,Ind
1891,Trinity (CT),Ind,6,4,0,0.6,0,0,0,0,12.5,14,Ind
1891,Dartmouth,Ind,2,2,1,0.5,0,0,0,0,12,12.4,Ind
1891,Dickinson,Ind,2,2,1,0.5,0,0,0,0,15.6,16.8,Ind
1891,Lehigh,Ind,7,6,0,0.538,0,0,0,0,13.4,15.2,Ind
1891,Rutgers,Ind,8,6,0,0.571,0,0,0,0,18.9,9.9,Ind
1891,Brown,Ind,4,6,0,0.4,0,0,0,0,11,17.6,Ind
1891,Franklin & Marshall,Ind,2,4,0,0.333,0,0,0,0,7.8,20.3,Ind
1891,Springfield,Ind,5,8,1,0.393,0,0,0,0,13.7,17.9,Ind
1891,Stevens,Ind,4,7,0,0.364,0,0,0,0,12.7,23.2,Ind
1891,Lafayette,Ind,2,9,1,0.208,0,0,0,0,7.2,13.4,Ind
1891,Massachusetts,Ind,2,5,0,0.286,0,0,0,0,8,20.3,Ind
1891,MIT,Ind,2,6,0,0.25,0,0,0,0,6.8,15.3,Ind
1891,Wesleyan (CT),Ind,2,7,0,0.222,0,0,0,0,7.3,41.4,Ind
1891,Columbia,Ind,1,5,0,0.167,0,0,0,0,5.3,36.7,Ind
1891,Haverford,Ind,0,6,0,0,0,0,0,0,1.3,40.8,Ind
